答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意，你不必说具体哪个，请告诉我您满意的主体数量（0-3）即可：钟南山院士官方媒体自媒体,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-3）即可：南方周末环球时报钟南山院士,Q13_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q13_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q13_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q13_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q13_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q14_请问你对上述视频有什么看法：,Q15_请问你对你平时上的思想政治课有什么看法：,Q16_你所在学校组织网课的最常见形式是什么？,Q16_你所在学校组织网课的最常见形式是什么？_开放选项,Q17_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q18_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q21_你上思想政治课的班级规模：,Q22_你对中央政府的工作有多满意？,Q23_你相信国务院新闻发布会发布的信息么？,Q24_你相信纽约时报发布的信息么？,Q25_你对老师在线授课的适应程度如何？,Q26_你对自己在线自主学习的适应程度如何？,Q27_你对学校组织的在线学习，有什么建议？
1162,139.215.45.207,,,,,,,,,2021-07-02 14:59:21,2021-07-02 15:02:50,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,3,1,7,4,4,7,7,7,7,7,7,7,无,无,4,,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
1163,117.136.6.36,,,,,,,,,2021-07-02 15:03:38,2021-07-02 15:06:09,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,3,1,1,1,1,1,7,3,3,6,7,7,7,7,6,7,正能量,没看法,4,,6,6,3,6,6,7,5,5,5,6,5,5,6,5,5,6,5,6,6,6,6,5,7,7,5,5,5,非常好
1164,223.104.238.118,,,,,,,,,2021-07-02 15:02:24,2021-07-02 15:06:09,Unknown Browser,iPhone iOS 14.2,1,,,,,,,8.0,8.0,8.0,1,3,2,1,3,1,3,4,4,6,7,7,7,7,7,7,无,无,7,,5,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,6,6,6,无
1165,36.104.40.36,,,,,,,,,2021-07-02 15:02:47,2021-07-02 15:06:52,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,1,1,2,4,7,4,4,6,6,6,6,6,6,6,无,无,3,,2,2,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,6,6,6,无
1166,117.13.123.13,,,,,,,,,2021-07-02 15:04:42,2021-07-02 15:06:52,Unknown Browser,iPhone iOS 14.3,1,,,,,,,8.0,8.0,8.0,1,1,1,1,1,1,6,1,4,6,6,6,6,6,6,6,，,，,3,,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,，
1167,117.61.17.191,,,,,,,,,2021-07-02 15:05:16,2021-07-02 15:06:55,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,3,3,4,3,3,3,7,7,7,7,7,7,7,好，非常好,好，非常好,8,,1,1,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,非常非常好
1168,139.214.254.128,,,,,,,,,2021-07-02 15:04:05,2021-07-02 15:07:31,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,3,1,2,4,1,2,2,7,7,7,7,7,7,7,1,1,7,,24,24,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有
1169,36.104.124.174,,,,,,,,,2021-07-02 15:04:29,2021-07-02 15:07:42,Unknown Browser,iPhone iOS 14.5.1,1,,,,,,,10.0,10.0,10.0,1,2,2,1,1,3,7,4,4,7,7,7,7,7,7,7,非常好,我们国家正在繁荣昌盛,3,,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,希望时常少一点
1170,39.144.101.8,,,,,,,,,2021-07-02 15:05:38,2021-07-02 15:08:18,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,8.0,7.0,8.0,1,1,2,1,3,3,2,3,2,7,7,7,7,7,7,7,无,无,7,,30,30,5,6,6,7,6,6,5,6,5,6,7,7,7,7,7,6,6,6,5,5,7,7,5,6,5,无
1171,117.136.80.108,,,,,,,,,2021-07-02 15:04:51,2021-07-02 15:08:34,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,5.0,5.0,6.0,1,1,2,1,1,3,6,4,2,7,4,3,3,7,7,7,暂无,对我们有很大帮助,3,,4,2,6,5,5,5,6,6,7,6,6,6,6,6,5,6,6,6,4,4,5,4,7,6,5,6,5,没有
1172,139.214.254.131,,,,,,,,,2021-07-02 15:07:43,2021-07-02 15:08:56,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,5.0,6.0,1,1,2,1,1,2,2,1,1,5,5,5,4,4,4,5,无,无,5,,2,2,5,5,4,5,5,5,5,4,5,4,5,5,4,4,4,4,5,4,4,4,5,5,5,5,4,无
1173,139.215.46.180,,,,,,,,,2021-07-02 15:04:09,2021-07-02 15:09:00,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,7.0,5.0,3,3,4,3,4,2,3,2,3,7,7,7,6,6,6,7,中国万岁,中国共产党万岁,5,,10,20,6,5,4,4,6,5,5,4,6,6,6,4,4,4,4,4,4,4,4,6,7,7,4,7,7,非常好
1174,139.214.251.5,,,,,,,,,2021-07-02 15:08:27,2021-07-02 15:09:24,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,10.0,10.0,1.0,1,1,4,2,2,3,6,2,1,6,7,6,5,6,4,4,……,……,3,,5,5,4,5,6,5,7,7,6,3,3,5,6,6,5,4,6,4,3,3,5,4,5,3,6,6,5,……
1175,223.104.238.185,,,,,,,,,2021-07-02 15:08:59,2021-07-02 15:10:29,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,6.0,7.0,1,1,1,1,1,2,1,1,1,3,6,4,5,5,5,5,很好,没有,5,,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,没有
1176,223.104.97.191,,,,,,,,,2021-07-02 15:07:45,2021-07-02 15:11:18,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,1,3,4,4,3,3,4,4,6,6,6,6,6,6,6,挺好,挺好,4,,3,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6,没有
1177,36.104.184.235,,,,,,,,,2021-07-02 15:05:54,2021-07-02 15:11:25,Unknown Browser,iPhone iOS 14.3,1,,,,,,,4.0,4.0,5.0,1,3,2,4,4,1,3,2,4,5,7,7,6,7,6,5,没看法,没看法,8,事先录好的课程,2,2,3,5,3,3,3,3,5,6,6,5,5,4,5,5,5,5,5,5,5,5,6,6,5,6,6,没建议
1178,117.136.32.107,,,,,,,,,2021-07-02 15:05:47,2021-07-02 15:11:50,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,2,1,6,3,4,5,5,6,5,6,6,5,无,希望可以结合时事,4,,11,11,5,5,5,4,5,5,6,5,6,5,5,5,5,5,5,6,6,5,5,6,5,6,4,6,6,无
1179,223.104.96.20,,,,,,,,,2021-07-02 15:02:00,2021-07-02 15:12:02,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,9.0,1,1,1,1,2,4,3,4,3,6,6,6,6,6,6,5,无,无,7,,2,1,6,5,5,5,6,6,5,6,5,5,5,6,6,6,6,6,5,5,5,5,7,7,6,6,6,无
1180,36.104.124.233,,,,,,,,,2021-07-02 15:09:56,2021-07-02 15:14:02,Chrome 78.0.3904.62,Android Linux 9,1,,,,,,,9.0,8.0,8.0,1,1,3,4,3,4,6,3,3,6,7,6,7,5,6,7,无,无,4,,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,无
1181,221.13.63.41,,,,,,,,,2021-07-02 15:11:26,2021-07-02 15:14:47,Unknown Browser,iPhone iOS 14.6,1,,,,,,,7.0,7.0,7.0,1,3,1,4,1,2,3,3,3,6,6,6,6,6,6,6,挺好的,提高国家知识,5,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,6,5,5,5,挺好
1182,114.138.17.18,,,,,,,,,2021-07-02 15:10:42,2021-07-02 15:14:51,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,2,1,1,2,2,3,4,4,6,6,6,6,6,6,6,没有看法,没有看法,7,,40,20,5,5,5,5,5,5,5,6,5,6,6,6,7,6,5,6,6,6,5,5,7,7,5,6,6,没有建议
1183,39.144.227.73,,,,,,,,,2021-07-02 15:08:33,2021-07-02 15:15:08,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,9.0,8.0,1,3,1,4,1,4,3,3,2,6,6,6,6,6,6,6,无,无,4,,1.5,72,6,6,6,5,6,6,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,无
1184,223.104.96.29,,,,,,,,,2021-07-02 15:10:11,2021-07-02 15:15:32,Unknown Browser,iPhone iOS 14.0.1,1,,,,,,,6.0,6.0,6.0,1,3,2,1,2,3,3,3,4,5,7,7,5,5,5,5,无,无,7,,2,1,4,4,4,4,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,4,7,7,6,5,5,无
1185,39.144.147.87,,,,,,,,,2021-07-02 15:12:37,2021-07-02 15:15:47,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,8.0,8.0,1,3,2,3,2,2,3,4,2,5,5,5,5,5,5,5,无,无,5,,100,80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
1186,221.13.63.10,,,,,,,,,2021-07-02 15:10:02,2021-07-02 15:15:50,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,3,6,4,4,7,7,7,7,7,7,7,可以的,也可以,4,,3小时,27小时,6,5,7,3,7,7,5,5,4,5,5,5,5,5,5,5,5,5,5,4,7,7,3,5,5,挺好的
1187,117.136.80.21,,,,,,,,,2021-07-02 15:11:58,2021-07-02 15:15:58,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,5.0,6.0,1,3,3,1,1,4,3,2,3,6,6,6,6,6,6,6,无,无,4,,6,7,6,6,6,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,无
1188,139.215.45.131,,,,,,,,,2021-07-02 15:10:07,2021-07-02 15:16:02,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,4,2,4,7,3,3,7,7,7,7,7,7,7,很好,很好,7,,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,无
1189,114.135.160.254,,,,,,,,,2021-07-02 15:12:17,2021-07-02 15:16:13,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,7.0,9.0,1,3,2,1,1,3,1,3,4,5,3,6,6,7,7,5,很枯燥,很无聊,7,,1,5,4,3,4,4,4,5,4,6,4,3,3,5,5,5,5,5,5,5,5,5,7,7,5,5,5,没有
1190,223.104.94.69,,,,,,,,,2021-07-02 15:09:48,2021-07-02 15:17:26,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,10.0,10.0,1,3,1,4,1,4,3,3,3,7,7,7,7,7,7,7,思政课引导大学生树立正确的价值观,提醒人们注重思想政治与道德修养的学习，升华自己的思想境界；帮助当代青年树立良好的世界观、人生观、价值观、道德观、法制观，加强自身的道德修养；统计分析当代青年对思修的认识与看法，以及个人修养与政治修养的水平,7,,一周90分钟,120个课程,7,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,7,7,6,7,7,5,7,7,多一点实践
1191,117.136.58.155,,,,,,,,,2021-07-02 15:15:36,2021-07-02 15:18:21,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,3,1,2,2,1,3,3,7,7,7,7,7,7,7,无,无,7,,一个半小时,一个半小时,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
1192,223.104.96.26,,,,,,,,,2021-07-02 15:06:26,2021-07-02 15:19:35,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,1,1,3,2,3,2,2,5,5,5,5,5,5,5,无,无,4,,不清楚,不清楚,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
1193,223.104.96.17,,,,,,,,,2021-07-02 15:10:33,2021-07-02 15:20:14,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,3,6,3,3,6,6,7,7,7,7,7,和思修课差不多,非常好，让大家了解一些关于党的知识,4,,24,2,5,5,5,5,5,5,6,5,6,6,5,6,6,6,5,5,5,5,6,6,7,7,3,6,6,加强管理
1194,106.108.67.91,,,,,,,,,2021-07-02 15:11:30,2021-07-02 15:20:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,3,2,3,3,3,3,4,4,6,6,6,6,6,6,6,教育越来越重要,能够够好的了解自己的国家,4,,1,1,5,5,5,5,5,5,5,5,5,6,6,4,5,5,5,5,5,5,5,5,7,7,5,5,5,有时候方便  有时候不方便
1195,117.136.6.99,,,,,,,,,2021-07-02 15:18:04,2021-07-02 15:21:01,Unknown Browser,iPhone iOS 14.4.1,1,,,,,,,4.0,5.0,5.0,1,1,1,1,3,4,3,3,3,7,7,7,7,7,7,7,无,无,4,,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,无
1196,117.61.3.109,,,,,,,,,2021-07-02 15:11:38,2021-07-02 15:21:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,10.0,10.0,1,3,2,3,3,3,1,4,4,6,7,7,7,7,6,6,高职教育越来越重要,很好的了解咱们的国家，社会,4,,1,1,5,5,5,5,4,5,6,6,5,5,5,5,5,5,5,5,5,5,5,6,7,7,5,6,6,还可以
1197,223.104.238.81,,,,,,,,,2021-07-02 15:14:55,2021-07-02 15:21:39,Chrome 83.0.4103.106,Android Linux 11,1,,,,,,,8.0,7.0,7.0,1,3,2,1,3,1,7,4,4,6,7,7,7,6,6,6,无,无,5,,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,7,6,4,7,7,6,6,6,无
1198,117.136.79.94,,,,,,,,,2021-07-02 15:17:55,2021-07-02 15:22:03,Unknown Browser,iPhone iOS 13.3.1,1,,,,,,,9.0,9.0,9.0,1,3,2,1,4,3,6,4,4,6,6,6,6,6,6,6,1,1,3,,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,1
1199,139.214.254.109,,,,,,,,,2021-07-02 15:18:20,2021-07-02 15:22:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,6.0,1,1,2,1,1,3,3,3,3,5,5,5,5,5,5,5,没看法,没看法,4,,10,10,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,没建议
1200,14.204.0.194,,,,,,,,,2021-07-02 15:13:03,2021-07-02 15:23:02,Chrome 62.0.3202.84,Android Linux 8.1.0,1,,,,,,,5.0,5.0,5.0,1,3,2,1,3,3,6,3,3,7,7,7,7,7,7,7,无,增强自信,3,,6小时,5小时,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,无
1201,119.4.175.238,,,,,,,,,2021-07-02 15:19:57,2021-07-02 15:23:24,Unknown Browser,iPhone iOS 14.2,1,,,,,,,10.0,10.0,10.0,1,3,1,1,4,2,6,4,4,7,7,7,7,7,7,7,没看法,没看法,4,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
1202,114.135.18.30,,,,,,,,,2021-07-02 15:20:46,2021-07-02 15:23:39,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,7.0,8.0,1,1,2,1,3,2,3,3,3,7,7,7,7,7,7,7,无,无,7,,5,6,7,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,5,7,7,5,7,7,无
1203,106.109.36.197,,,,,,,,,2021-07-02 15:18:30,2021-07-02 15:24:09,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,6.0,1,3,2,1,2,1,3,3,4,7,7,7,7,7,7,7,无,无,3,,2,0,4,4,4,3,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,7,7,5,5,4,无
1204,221.13.63.102,,,,,,,,,2021-07-02 15:17:37,2021-07-02 15:25:10,Unknown Browser,iPhone iOS 14.4,1,,,,,,,8.0,9.0,8.0,3,3,2,1,2,4,3,3,3,6,6,7,5,6,5,5,没有,更好的让我们了解了历史性的成就,4,,10,4,6,6,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,5,5,6,5,没有
1205,117.136.80.209,,,,,,,,,2021-07-02 15:22:55,2021-07-02 15:25:30,Chrome 78.0.3904.62,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,1,6,4,4,7,7,7,7,7,7,7,无,无,3,,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,6,7,6,无
1206,114.139.114.43,,,,,,,,,2021-07-02 15:16:06,2021-07-02 15:25:42,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,5.0,1,1,2,1,2,4,3,3,3,6,6,6,6,6,6,6,非常好,老师幽默风趣会比较想学,4,,32,12,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,课程繁多
1207,139.214.244.23,,,,,,,,,2021-07-02 15:24:29,2021-07-02 15:25:46,Unknown Browser,iPhone iOS 13.6,1,,,,,,,10.0,10.0,10.0,2,2,4,4,4,2,3,1,2,4,7,7,6,6,7,5,没有,没有,6,,1,1,3,3,3,3,7,7,6,6,5,4,5,4,4,3,5,6,6,6,5,5,5,5,4,5,6,没有
1208,106.61.18.94,,,,,,,,,2021-07-02 15:19:01,2021-07-02 15:25:49,Unknown Browser,iPhone iOS 14.4,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,4,7,2,4,7,7,7,7,7,7,7,很喜欢,特别适合，感触最深,4,,28,24,5,5,5,5,5,6,7,7,6,6,6,6,6,5,7,7,7,7,7,5,7,7,7,7,7,挺好
1209,117.136.12.213,,,,,,,,,2021-07-02 15:23:08,2021-07-02 15:29:09,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,7.0,6.0,6.0,1,3,2,3,3,1,6,4,4,6,6,6,6,6,6,6,没有看法,没有看法,4,,30,28,5,5,5,5,6,5,5,5,6,6,6,5,4,4,4,6,5,5,5,5,7,7,6,6,5,没有
1210,106.109.32.164,,,,,,,,,2021-07-02 15:21:32,2021-07-02 15:29:47,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,9.0,4.0,6.0,1,3,1,1,1,2,3,1,4,6,6,6,6,7,6,6,无,无,4,,40小时,20小时,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
1211,119.62.124.252,,,,,,,,,2021-07-02 15:28:14,2021-07-02 15:30:40,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,1,3,6,4,4,7,7,7,7,7,7,7,无,无,7,,48,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
1212,116.171.4.28,,,,,,,,,2021-07-02 15:24:16,2021-07-02 15:31:36,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,2.0,1.0,1.0,1,1,3,3,3,3,6,4,4,7,7,7,7,7,7,7,没有,没有,4,,10,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,6,5,6,没有
1213,221.13.63.120,,,,,,,,,2021-07-02 15:25:45,2021-07-02 15:32:35,Unknown Browser,iPhone iOS 14.4,1,,,,,,,6.0,5.0,6.0,1,1,3,1,3,2,7,4,4,7,7,7,7,7,7,6,挺好的,比较满意,5,,50,50,6,5,4,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,7,7,6,6,5,满意的
1214,39.144.227.101,,,,,,,,,2021-07-02 15:27:52,2021-07-02 15:34:42,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,3,3,2,1,6,2,4,7,7,7,7,7,7,7,挺好,没有,5,,2,3,5,5,5,5,4,5,5,5,6,7,7,6,7,5,5,5,5,5,5,6,7,6,6,5,5,无
1215,180.130.2.48,,,,,,,,,2021-07-02 15:33:01,2021-07-02 15:35:28,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,8.0,9.0,1,1,2,1,1,1,2,2,2,4,4,6,6,7,6,6,没有,没有,6,,8,8,6,6,5,5,6,5,6,6,6,6,6,6,5,6,6,6,6,5,5,6,7,6,6,6,6,没有
1216,117.61.244.211,,,,,,,,,2021-07-02 15:33:42,2021-07-02 15:37:04,Unknown Browser,iPhone iOS 14.6,1,,,,,,,5.0,5.0,5.0,1,1,1,1,3,2,3,3,2,6,6,6,6,6,6,6,无,无,3,,40,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,无
1217,106.108.84.117,,,,,,,,,2021-07-02 15:27:28,2021-07-02 15:37:30,Chrome 77.0.3865.120,Android Linux 7.1.2,1,,,,,,,7.0,7.0,7.0,1,3,2,3,2,4,7,3,4,6,6,7,6,7,6,7,无,无,4,,3,0,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,6,5,5,无
1218,106.109.80.0,,,,,,,,,2021-07-02 15:34:36,2021-07-02 15:37:50,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,3,1,4,3,4,7,4,4,7,7,7,7,7,7,7,无,无,7,,300,30,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
1219,106.57.124.230,,,,,,,,,2021-07-02 15:29:21,2021-07-02 15:38:02,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,6.0,8.0,1,3,2,1,3,1,6,4,4,6,7,7,6,7,7,7,没有,思想政治课内容本枯燥无味 ，但增加课件和视频后变得非常有趣 ,4,,14,20,4,4,4,4,5,6,5,6,6,5,6,5,4,4,4,5,5,5,5,5,7,7,5,5,6,希望能够恢复到面对面授课 
1220,14.150.128.137,,,,,,,,,2021-07-02 15:34:03,2021-07-02 15:38:46,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,7.0,10.0,1,3,2,3,2,4,6,4,3,7,7,7,7,7,7,7,棒！,棒！,3,,不清楚,不清楚,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,4,7,6,5,7,7,棒
1221,221.13.63.171,,,,,,,,,2021-07-02 15:22:08,2021-07-02 15:38:48,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,2,1,2,1,7,3,4,6,7,7,6,7,7,7,内容全面,目前没有,8,在线观看视频,1,1,7,6,5,5,5,6,6,5,6,4,5,6,7,7,7,5,5,5,5,4,7,7,6,6,6,提供更多的在线学习设备
1222,223.104.238.243,,,,,,,,,2021-07-02 15:33:52,2021-07-02 15:38:52,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,1,4,4,7,7,7,7,7,7,7,无,无,4,,10,40,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
1223,139.214.254.115,,,,,,,,,2021-07-02 15:39:37,2021-07-02 15:41:59,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,4,4,3,3,3,4,4,7,7,7,7,7,7,7,不错,很好,3,,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,6,6,没有
