答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意？你不必说具体哪个，请告诉我您满意的主体数量（0-4）即可：钟南山院士高等院校非政府组织中央政府,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士国务院新闻发布会,Q13_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士纽约时报,Q14_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q14_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q14_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q14_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q14_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q15_请问你对上述视频有什么看法：,Q16_请问你对你平时上的思想政治课有什么看法：,Q17_你所在学校组织网课的最常见形式是什么？,Q17_你所在学校组织网课的最常见形式是什么？_开放选项,Q18_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q19_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q22_你上思想政治课的班级规模：,Q23_你对中央政府的工作有多满意？,Q24_你相信国务院新闻发布会发布的信息么？,Q25_你相信纽约时报发布的信息么？,Q26_你对老师在线授课的适应程度如何？,Q27_你对自己在线自主学习的适应程度如何？,Q28_你对学校组织的在线学习，有什么建议？
877,139.214.251.213,,,,,,,,,2021-07-02 12:33:28,2021-07-02 12:41:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,8.0,9.0,3,1,3,4,1,3,7,2,4,4,6,6,6,5,6,6,5,没看法,没看法,3,,20,20,6,7,6,7,6,5,6,7,6,7,7,6,6,6,6,7,6,6,6,4,7,6,5,7,7,很好
878,117.136.6.72,,,,,,,,,2021-07-02 12:38:06,2021-07-02 12:41:35,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,1,2,1,3,3,6,4,4,4,6,7,6,6,6,6,7,好,非常喜欢,3,,七小时,七小时,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,5,7,7,3,7,7,好
879,106.61.16.188,,,,,,,,,2021-07-02 12:32:52,2021-07-02 12:41:39,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,3,2,1,2,4,3,4,3,2,7,7,7,3,7,7,7,非常好,老师非常负责，相当好,3,,15小时,20小时,5,5,4,4,6,5,4,6,6,6,6,5,5,4,4,5,5,4,5,5,7,7,4,6,4,希望能更多监督
880,223.104.238.121,,,,,,,,,2021-07-02 12:37:28,2021-07-02 12:41:54,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,1.0,5.0,3.0,1,1,2,1,1,1,6,5,5,4,7,7,7,7,7,7,7,无,无,8,,6小时,6小时,4,4,4,4,5,4,6,7,5,5,5,5,5,5,5,4,4,4,5,5,7,7,5,3,5,无
881,106.61.212.210,,,,,,,,,2021-07-02 12:35:18,2021-07-02 12:42:04,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,9.0,1,3,2,4,3,4,3,4,5,5,7,6,7,6,6,6,6,暂时没有,暂时没有,3,,12,8,6,5,6,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,6,5,6,6,6,暂时没有
882,218.204.252.149,,,,,,,,,2021-07-02 12:31:54,2021-07-02 12:42:10,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,4,7,4,5,3,7,7,7,7,7,7,7,暂无,暂无,7,,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,4,6,6,暂无
883,120.230.46.202,,,,,,,,,2021-07-02 12:34:13,2021-07-02 12:42:17,Unknown Browser,iPhone iOS 14.3,1,,,,,,,9.0,7.0,7.0,1,4,3,1,1,3,6,5,3,3,6,6,6,6,4,6,6,非常好,老师讲的符合课程的要求和宗旨,4,,10,10,6,4,5,4,3,3,6,6,4,6,5,4,5,6,6,5,5,5,6,4,6,7,5,6,5,没有
884,42.97.227.115,,,,,,,,,2021-07-02 12:29:58,2021-07-02 12:42:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,7.0,10.0,1,3,1,4,2,2,6,4,4,3,7,7,7,7,7,7,7,还不错有利于我们了解国家发展,老师的姜法很感兴趣,3,,1,1,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,4,7,7,5,5,4,没有
885,223.104.238.51,,,,,,,,,2021-07-02 12:38:41,2021-07-02 12:42:37,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,8.0,1,1,2,1,1,1,6,4,5,2,6,7,7,7,7,6,6,无,无,3,,10,5,6,5,5,4,6,6,5,6,6,6,5,6,6,5,6,6,5,5,6,4,6,7,6,6,6,无
886,36.104.30.97,,,,,,,,,2021-07-02 12:38:14,2021-07-02 12:43:06,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,4,2,1,2,1,7,5,5,5,6,6,6,6,6,6,6,很好  很励志,挺感兴趣的  都在认真听,3,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,6,5,5,挺好的
887,36.104.184.160,,,,,,,,,2021-07-02 12:39:27,2021-07-02 12:43:07,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,3,4,3,2,3,5,5,4,6,7,7,6,6,7,7,很好,没看法,7,,好多,10,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,7,7,4,6,6,没有
888,223.104.238.169,,,,,,,,,2021-07-02 12:35:21,2021-07-02 12:43:10,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,10.0,9.0,9.0,1,1,1,4,1,4,7,1,4,4,7,7,7,6,7,7,6,没有,没有,7,,30,15,6,6,5,5,6,5,6,5,6,6,6,6,6,6,6,5,5,6,5,4,7,6,5,5,5,没有
889,139.214.251.21,,,,,,,,,2021-07-02 12:41:35,2021-07-02 12:43:10,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,8.0,7.0,7.0,1,3,4,3,3,3,3,3,2,4,6,6,6,6,7,6,5,无,无,5,,6,99,4,5,6,6,5,5,6,5,4,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,5,无
890,223.104.130.175,,,,,,,,,2021-07-02 12:38:23,2021-07-02 12:43:15,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,3,1,2,4,3,3,4,4,7,7,7,7,7,7,6,挺好的，加强意识,加强我们对党的意识,3,,1,2,6,5,4,4,5,5,5,5,5,5,6,6,5,5,6,6,5,5,6,5,6,7,5,6,6,没
891,139.214.254.202,,,,,,,,,2021-07-02 12:40:36,2021-07-02 12:43:17,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,5.0,1,1,1,4,4,4,2,5,5,5,7,7,7,6,6,7,7,没有,没有,3,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,7,7,6,5,没有
892,36.104.176.127,,,,,,,,,2021-07-02 12:41:02,2021-07-02 12:43:28,Unknown Browser,iPhone iOS 14.1,1,,,,,,,10.0,10.0,8.0,1,1,2,1,2,4,3,4,5,5,6,6,6,6,6,6,6,很好,很好,3,,20,8,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,5,7,6,7,5,6,7,6,6,6,很好
893,36.19.59.91,,,,,,,,,2021-07-02 12:39:50,2021-07-02 12:43:37,Unknown Browser,iPhone iOS 14.4,1,,,,,,,7.0,7.0,7.0,1,3,3,1,2,2,6,3,3,3,7,6,7,6,7,7,7,没什么看法,非常好,7,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,6,6,没什么建议
894,36.104.29.145,,,,,,,,,2021-07-02 12:37:59,2021-07-02 12:43:39,Chrome 77.0.3865.120,Android Linux 7.1.1,1,,,,,,,10.0,10.0,10.0,3,1,3,3,4,3,6,4,2,2,7,7,7,7,7,7,7,好,好,4,,10,22.5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,7,7,5,5,6,无
895,106.61.254.5,,,,,,,,,2021-07-02 12:40:29,2021-07-02 12:43:39,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,8.0,5.0,1,1,2,1,3,2,6,3,3,2,7,7,7,7,7,7,7,视频很好,没有意见,4,,4,5,6,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,没有
896,106.61.53.40,,,,,,,,,2021-07-02 12:41:29,2021-07-02 12:43:47,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,5.0,5.0,5.0,1,1,2,1,4,1,3,5,4,4,5,5,5,5,5,5,5,没有,没有,5,,40,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,没有
897,223.104.238.126,,,,,,,,,2021-07-02 12:38:31,2021-07-02 12:43:50,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,7.0,7.0,1,3,2,1,3,2,3,5,5,4,5,6,6,5,5,6,6,无,无,3,,60,10,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,5,5,5,无
898,117.136.12.155,,,,,,,,,2021-07-02 12:40:06,2021-07-02 12:44:02,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,5.0,6.0,1,1,2,1,2,1,3,5,5,4,6,6,7,6,6,7,6,好,好,3,,5,2,5,5,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,6,7,5,6,5,不要网课
899,39.144.101.36,,,,,,,,,2021-07-02 12:38:38,2021-07-02 12:44:04,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,7.0,7.0,1,2,4,3,4,3,6,4,5,5,7,7,7,6,7,7,7,没有看法,没有看法,4,,1,1,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,6,一般
900,180.130.10.43,,,,,,,,,2021-07-02 12:36:32,2021-07-02 12:44:22,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,5.0,6.0,1,1,2,1,1,4,3,5,5,5,7,7,7,7,7,7,7,无,视频比课本更加直观和生动,7,,3,1,5,5,6,5,4,6,4,6,6,5,5,6,6,5,6,6,4,5,6,5,7,7,5,6,6,无
901,223.104.238.31,,,,,,,,,2021-07-02 12:40:14,2021-07-02 12:44:31,Chrome 77.0.3865.92,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,4,3,5,4,4,6,6,6,6,6,6,6,没有,老师很生动,4,,5,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,5,7,7,没有
902,123.139.80.176,,,,,,,,,2021-07-02 12:38:56,2021-07-02 12:44:32,Chrome 78.0.3904.62,Android Linux 9,1,,,,,,,5.0,5.0,7.0,1,3,1,1,1,2,3,4,4,3,6,6,6,6,6,7,6,没,没,7,,1.5,2,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,6,7,5,7,7,没
903,218.19.34.187,,,,,,,,,2021-07-02 12:40:29,2021-07-02 12:44:43,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,4.0,5.0,1,1,2,1,3,3,3,4,4,4,7,7,7,7,7,7,7,挺好的,还可以加强,3,,12,30,5,5,6,4,6,4,5,3,3,4,5,4,5,6,6,6,6,6,6,5,3,7,6,6,6,提供网络
904,117.136.80.53,,,,,,,,,2021-07-02 12:40:33,2021-07-02 12:44:49,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,7.0,6.0,1,1,2,1,3,3,6,5,4,4,6,6,6,6,6,6,6,比较详细,形式多样,4,,8,2,5,5,5,4,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,线上线下结合更好
905,39.144.101.62,,,,,,,,,2021-07-02 12:38:34,2021-07-02 12:44:51,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,1,1,1,2,2,6,5,5,3,7,7,7,7,7,7,7,没有看法,讲的是国家富强很好,3,,2小时,21小时,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,很好
906,106.61.201.131,,,,,,,,,2021-07-02 12:38:52,2021-07-02 12:45:05,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,3,2,1,1,4,6,5,5,5,7,7,7,7,7,7,7,相信马克思主义，相信党的领导，党的领导是我对光的向往。,非常棒，我喜欢上思想政治课，生动有趣，能学到许多的党政知识。,4,,3,12,5,5,5,5,5,5,5,5,7,7,7,6,6,6,6,6,6,6,6,4,7,7,4,5,5,可以免费吗
907,106.61.121.213,,,,,,,,,2021-07-02 12:41:27,2021-07-02 12:45:32,Chrome 77.0.3865.120,Android Linux 7.1.1,1,,,,,,,7.0,7.0,7.0,1,3,2,1,3,3,3,4,3,3,5,5,5,5,6,6,6,无,无,5,,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,5,5,5,无
908,139.215.45.251,,,,,,,,,2021-07-02 12:43:34,2021-07-02 12:45:57,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,1,1,3,2,7,2,5,5,7,7,7,7,7,7,7,没有,没有,7,,8,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,没有
909,139.215.45.122,,,,,,,,,2021-07-02 12:38:55,2021-07-02 12:46:01,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,3,3,6,4,3,2,7,7,7,7,7,7,7,非常好,非常好,3,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,7,7,5,6,6,无
910,139.214.246.49,,,,,,,,,2021-07-02 12:41:15,2021-07-02 12:46:01,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,3,1,2,2,7,2,5,4,7,7,7,7,7,7,7,好,好,4,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,6,6,没有
911,117.136.80.224,,,,,,,,,2021-07-02 12:43:27,2021-07-02 12:46:20,Unknown Browser,iPhone iOS 14.4.1,1,,,,,,,7.0,8.0,9.0,1,1,2,1,3,1,3,5,5,5,5,5,5,5,6,6,6,无,无,4,,35,20,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,5,5,5,无
912,106.61.206.6,,,,,,,,,2021-07-02 12:42:07,2021-07-02 12:46:51,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,7.0,7.0,1,1,2,1,2,4,6,4,4,3,6,6,6,6,6,6,6,无,无,7,,36,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,无
913,106.61.205.155,,,,,,,,,2021-07-02 12:44:44,2021-07-02 12:46:57,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,4,1,2,1,3,4,4,3,6,7,7,7,7,7,7,无,无,7,,6,7,7,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
914,117.136.80.240,,,,,,,,,2021-07-02 12:38:52,2021-07-02 12:47:11,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,9.0,9.0,7.0,1,3,2,1,1,3,3,5,2,2,6,7,6,5,5,6,5,无,多贴近生活,8,网课,133,48,5,5,5,4,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,4,7,7,5,5,4,没有
915,39.144.101.42,,,,,,,,,2021-07-02 12:45:47,2021-07-02 12:47:19,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,4,2,7,5,5,5,6,6,6,5,6,5,5,没看法,整挺好,6,,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,都挺好
916,106.61.27.234,,,,,,,,,2021-07-02 12:44:03,2021-07-02 12:47:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,2,4,2,4,4,4,5,6,6,6,6,6,6,挺好的,挺有趣的,4,,2,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,3,6,6,挺好的
917,117.136.80.255,,,,,,,,,2021-07-02 12:36:09,2021-07-02 12:47:26,Chrome 77.0.3865.120,Android Linux 8.0.0,1,,,,,,,8.0,8.0,8.0,1,4,2,1,4,4,6,5,5,4,7,7,7,7,7,7,7,挺好的,挺好的,4,,20,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,6,6,6,没有
918,106.61.206.21,,,,,,,,,2021-07-02 12:44:14,2021-07-02 12:47:52,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,9.0,10.0,1,3,2,3,4,3,6,5,5,5,7,7,7,7,7,7,7,无,无,7,,3,2,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,7,7,7,7,7,无
919,117.136.71.189,,,,,,,,,2021-07-02 12:42:31,2021-07-02 12:48:05,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,7,5,5,5,7,7,7,7,7,7,7,无,无,4,,10小时,5小时,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
920,139.214.246.208,,,,,,,,,2021-07-02 12:41:16,2021-07-02 12:48:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,1,1,2,4,7,4,3,2,7,7,7,7,7,7,7,好,好,7,,21,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,好
921,14.204.0.67,,,,,,,,,2021-07-02 12:45:56,2021-07-02 12:48:17,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,4.0,4.0,4.0,1,1,3,1,3,2,2,4,4,4,6,6,6,6,6,6,6,没有,没有,3,,120,120,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,没有
922,223.104.238.9,,,,,,,,,2021-07-02 12:35:32,2021-07-02 12:48:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,6.0,1,1,2,1,2,4,6,5,5,4,7,7,7,7,7,7,7,内容充实，非常好,有趣生动，学习了很多知识,4,,3,3,7,7,7,5,6,5,6,5,5,5,6,6,5,6,7,6,6,6,6,4,7,7,3,5,5,挺好的
923,106.61.244.191,,,,,,,,,2021-07-02 12:45:30,2021-07-02 12:48:38,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,5.0,1,1,2,1,1,3,3,5,5,5,7,7,7,7,7,7,7,无,无,3,,40,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,5,5,没有课本
924,106.61.197.197,,,,,,,,,2021-07-02 12:45:49,2021-07-02 12:48:43,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,5.0,1,1,3,1,2,2,3,3,3,3,7,7,7,7,6,7,7,无,无,4,,10,10,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,4,6,6,无
925,42.97.251.110,,,,,,,,,2021-07-02 12:46:25,2021-07-02 12:48:44,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,2,2,2,3,1,1,2,4,1,4,7,7,7,5,7,7,7,好,好,3,,50,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有什么建议
926,223.104.238.22,,,,,,,,,2021-07-02 12:38:31,2021-07-02 12:49:06,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,8.0,6.0,6.0,1,3,2,3,3,3,7,5,5,5,7,7,7,7,7,7,7,讲授的内容非常好,内容全面，容易了解中国历史发展,7,,7,4,6,6,7,6,6,6,6,6,7,5,6,6,6,6,6,6,6,6,6,4,7,7,5,6,6,无
927,112.96.224.215,,,,,,,,,2021-07-02 12:41:39,2021-07-02 12:49:23,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,2,1,2,4,6,4,4,4,6,7,7,7,7,6,6,国家发展好,有这课就挺好,3,,14,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,7,7,5,6,6,网络弄好点
928,117.61.28.100,,,,,,,,,2021-07-02 12:46:09,2021-07-02 12:49:28,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,1,1,1,1,4,3,3,3,3,2,6,6,6,6,6,6,6,无,无,4,,20,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
929,117.136.80.74,,,,,,,,,2021-07-02 12:45:30,2021-07-02 12:49:42,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,3,6,5,5,3,7,6,7,7,7,7,6,很不错,可程内容单调,4,,2,6,6,4,6,6,6,7,6,6,6,6,6,6,5,7,7,6,6,6,6,4,6,7,6,6,6,没有
930,222.160.53.252,,,,,,,,,2021-07-02 12:44:19,2021-07-02 12:49:44,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,3,1,1,3,2,6,4,3,4,5,7,7,7,7,7,7,无,无,3,,16.5,9,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,7,无
931,183.238.74.178,,,,,,,,,2021-07-02 12:46:25,2021-07-02 12:49:54,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,1.0,1.0,5.0,1,1,3,1,3,4,1,5,5,5,7,7,7,7,7,5,5,没有加入自己的理解。单纯念稿,希望继续开展,4,,8,200,4,4,3,3,7,7,6,6,6,6,6,6,5,5,5,5,5,5,6,5,7,7,3,7,7,没有。十分理解
932,223.104.238.186,,,,,,,,,2021-07-02 12:44:26,2021-07-02 12:50:05,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,8.0,8.0,8.0,1,3,2,1,3,2,3,3,3,3,5,5,5,5,5,5,5,很好，加强党的领导,了解党，全面加强党的领导,7,,2,1,5,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,4,6,7,6,6,6,加强结合学生的兴趣爱好
933,113.200.106.113,,,,,,,,,2021-07-02 12:46:19,2021-07-02 12:50:18,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,3,7,4,5,4,7,7,7,7,7,7,7,非常不错,讲的不错,4,,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,非常不错
934,220.197.232.249,,,,,,,,,2021-07-02 12:43:14,2021-07-02 12:50:38,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,9.0,9.0,8.0,1,1,3,4,3,2,6,1,5,4,7,7,7,6,6,7,7,挺好,很好,8,,8,10,6,5,5,5,6,6,7,5,6,6,6,5,5,6,5,5,6,5,6,5,7,6,6,5,5,没介意
935,112.96.134.178,,,,,,,,,2021-07-02 12:45:50,2021-07-02 12:50:46,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,9.0,8.0,1,3,3,1,3,1,3,4,5,4,6,6,6,6,6,6,6,挺好的,坚持党的正确领导,3,,24,3,6,5,5,5,6,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,6,7,6,6,5,多上课
936,139.214.254.34,,,,,,,,,2021-07-02 12:47:51,2021-07-02 12:50:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,2,3,1,3,2,2,4,3,3,6,7,7,6,7,7,7,没有,没有,5,,40,45,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,5,5,6,6,6,6,6,没有
937,139.214.244.46,,,,,,,,,2021-07-02 12:47:36,2021-07-02 12:51:39,Unknown Browser,iPhone iOS 12.4.9,1,,,,,,,10.0,10.0,9.0,1,1,4,1,2,4,7,5,5,5,7,7,7,7,7,7,7,没有,加强理念,4,,24,24,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,7,7,7,5,5,没什么建议
